[0708/123806:ERROR:dns_config_service_win.cc(750)] DNS config watch failed.
[0812/232045:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232050:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232055:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232100:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232105:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232110:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232115:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232120:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232125:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232130:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232135:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232140:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232145:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232150:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232155:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232200:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232205:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232210:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232215:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232220:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232225:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232230:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232235:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232240:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232245:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232250:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232255:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232301:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232306:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232311:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0813/025032:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0813/025908:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0813/040208:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
